claim_id,age,vehicle_age,policy_type,claim_amount,previous_claims,driver_rating,vehicle_type,coverage_amount,deductible,label
1,35,3,comprehensive,5000,0,4.5,sedan,50000,500,approved
2,28,8,liability,12000,2,3.2,suv,30000,1000,rejected
3,45,1,comprehensive,3000,0,4.8,sedan,75000,250,approved
4,52,10,liability,18000,3,2.8,truck,25000,1500,rejected
5,38,4,comprehensive,7000,1,4.2,suv,60000,500,approved
6,25,12,liability,22000,4,2.5,coupe,20000,2000,rejected
7,42,2,comprehensive,4500,0,4.6,sedan,70000,500,approved
8,30,7,liability,15000,2,3.0,suv,28000,1200,rejected
9,48,5,comprehensive,6000,1,4.4,sedan,65000,500,approved
10,32,9,liability,20000,3,2.9,truck,22000,1800,rejected
11,40,3,comprehensive,5500,0,4.7,suv,68000,500,approved
12,27,11,liability,16000,2,3.1,coupe,26000,1400,rejected
13,50,1,comprehensive,3500,0,4.9,sedan,80000,250,approved
14,33,8,liability,14000,2,3.3,suv,32000,1100,rejected
15,44,4,comprehensive,6500,1,4.3,sedan,62000,500,approved
16,29,10,liability,19000,3,2.7,truck,24000,1700,rejected
17,46,2,comprehensive,4000,0,4.8,suv,72000,500,approved
18,31,9,liability,17000,2,3.0,coupe,27000,1300,rejected
19,49,5,comprehensive,6200,1,4.5,sedan,66000,500,approved
20,26,12,liability,21000,4,2.6,suv,21000,1900,rejected
21,41,3,comprehensive,5300,0,4.6,sedan,69000,500,approved
22,34,7,liability,13000,2,3.2,truck,29000,1100,rejected
23,47,1,comprehensive,3800,0,4.9,suv,78000,250,approved
24,28,11,liability,18500,3,2.8,coupe,23000,1600,rejected
25,43,4,comprehensive,6800,1,4.4,sedan,64000,500,approved
26,30,9,liability,16500,2,3.1,suv,25000,1400,rejected
27,51,2,comprehensive,4200,0,4.8,sedan,74000,500,approved
28,24,10,liability,19500,3,2.9,truck,22500,1750,rejected
29,45,5,comprehensive,5800,1,4.5,suv,67000,500,approved
30,36,8,liability,15500,2,3.2,coupe,31000,1200,rejected
