student_id,age,gender,study_hours,attendance_rate,previous_grade,extracurricular,parent_education,internet_access,tutoring,label
1,16,male,15,92,B,yes,bachelor,yes,no,pass
2,17,female,20,95,A,yes,master,yes,yes,pass
3,15,male,8,75,C,no,high_school,no,no,fail
4,18,female,18,90,B,yes,bachelor,yes,no,pass
5,16,male,5,65,D,no,high_school,no,no,fail
6,17,female,22,98,A,yes,master,yes,yes,pass
7,15,male,12,85,B,yes,bachelor,yes,no,pass
8,18,female,7,70,C,no,high_school,no,no,fail
9,16,male,16,88,B,yes,bachelor,yes,no,pass
10,17,female,6,68,D,no,associate,no,no,fail
11,15,male,14,90,B,yes,bachelor,yes,no,pass
12,18,female,21,96,A,yes,master,yes,yes,pass
13,16,male,9,78,C,no,high_school,yes,no,fail
14,17,female,19,92,A,yes,bachelor,yes,yes,pass
15,15,male,4,60,D,no,high_school,no,no,fail
16,18,female,17,89,B,yes,bachelor,yes,no,pass
17,16,male,13,86,B,yes,bachelor,yes,no,pass
18,17,female,8,72,C,no,associate,no,no,fail
19,15,male,11,82,B,yes,bachelor,yes,no,pass
20,18,female,23,97,A,yes,master,yes,yes,pass
21,16,male,10,80,C,no,high_school,yes,no,fail
22,17,female,18,91,B,yes,bachelor,yes,no,pass
23,15,male,6,67,D,no,high_school,no,no,fail
24,18,female,20,94,A,yes,master,yes,yes,pass
25,16,male,14,87,B,yes,bachelor,yes,no,pass
26,17,female,7,71,C,no,associate,no,no,fail
27,15,male,15,89,B,yes,bachelor,yes,no,pass
28,18,female,5,63,D,no,high_school,no,no,fail
29,16,male,17,90,B,yes,bachelor,yes,no,pass
30,17,female,22,96,A,yes,master,yes,yes,pass
